country,description,total_volume,rank
Iceland,ICE CREAM SUNDAE LIP GLOSS,240,1
Iceland,3D DOG PICTURE PLAYING CARDS,126,2
Iceland,MINI PAINT SET VINTAGE,108,3
Israel,WOODLAND CHARLOTTE BAG,130,1
Israel,RED RETROSPOT CHARLOTTE BAG,110,2
Israel,ROUND SNACK BOXES SET OF4 WOODLAND,96,3
Israel,BLUE STRIPE CERAMIC DRAWER KNOB,96,3
Italy,"FEATHER PEN,HOT PINK",240,1
Italy,ICE CREAM BUBBLES,200,2
Italy,"FEATHER PEN,COAL BLACK",168,3
Japan,RABBIT NIGHT LIGHT,3401,1
Japan,PACK OF 12 TRADITIONAL CRAYONS,1201,2
Japan,ROUND SNACK BOXES SET OF 4 FRUITS,870,3
Lebanon,ASSTD FRUIT+FLOWERS FRIDGE MAGNETS,24,1
Lebanon,PARTY BUNTING,15,2
Lebanon,FRIDGE MAGNETS US DINER ASSORTED,12,3
Lebanon,GARLAND WOODEN HAPPY EASTER,12,3
Lebanon,SALLE DE BAIN HOOK,12,3
Lebanon,REGENCY CAKESTAND 3 TIER,12,3
Lebanon,SET OF 6 SPICE TINS PANTRY DESIGN,12,3
Lebanon,NO SINGING METAL SIGN,12,3
Lebanon,WASHROOM METAL SIGN,12,3
Lebanon,CARD HOLDER GINGHAM HEART,12,3
Lebanon,SET 3 PAPER VINTAGE CHICK PAPER EGG,12,3
Lebanon,JAM MAKING SET WITH JARS,12,3
Lebanon,GINGERBREAD MAN COOKIE CUTTER,12,3
Lebanon,BISCUIT TIN VINTAGE RED,12,3
Lebanon,PHARMACIE FIRST AID TIN,12,3
Lebanon,FIRST AID TIN,12,3
Lebanon,BEWARE OF THE CAT METAL SIGN,12,3
Lebanon,LAUNDRY 15C METAL SIGN,12,3
Lebanon,SET OF 3 CAKE TINS PANTRY DESIGN,12,3
Lithuania,FELTCRAFT DOLL ROSIE,48,1
Lithuania,RED  HARMONICA IN BOX,48,1
Lithuania,GOLD MUG BONE CHINA TREE OF LIFE,36,3
Lithuania,BLUE HARMONICA IN BOX,36,3
Lithuania,GREY FLORAL FELTCRAFT SHOULDER BAG,36,3
Lithuania,SILVER MUG BONE CHINA TREE OF LIFE,36,3
Malta,GRAND CHOCOLATECANDLE,75,1
Malta,CHRISTMAS PUDDING TRINKET POT,56,2
Malta,WRAP CHRISTMAS VILLAGE,25,3
Netherlands,RABBIT NIGHT LIGHT,4801,1
Netherlands,SPACEBOY LUNCH BOX,4528,2
Netherlands,DOLLY GIRL LUNCH BOX,4132,3
Norway,SMALL FOLDING SCISSOR(POINTED EDGE),576,1
Norway,GROW A FLYTRAP OR SUNFLOWER IN TIN,504,2
Norway,FENG SHUI PILLAR CANDLE,384,3
Poland,STRAWBERRY CERAMIC TRINKET BOX,144,1
Poland,CERAMIC CAKE DESIGN SPOTTED MUG,138,2
Poland,JAM MAKING SET PRINTED,108,3
Portugal,POLKADOT PEN,240,1
Portugal,60 TEATIME FAIRY CAKE CASES,218,2
Portugal,LUNCH BAG RED RETROSPOT,215,3
RSA,PACK OF 6 BIRDY GIFT TAGS,12,1
RSA,SET OF 20 KIDS COOKIE CUTTERS,12,1
RSA,WOODEN BOX OF DOMINOES,12,1
RSA,4 TRADITIONAL SPINNING TOPS,12,1
RSA,ASSORTED BOTTLE TOP  MAGNETS,12,1
Saudi Arabia,PLASTERS IN TIN SKULLS,12,1
Saudi Arabia,PLASTERS IN TIN STRONGMAN,12,1
Saudi Arabia,ASSORTED BOTTLE TOP  MAGNETS,12,1
Saudi Arabia,PLASTERS IN TIN CIRCUS PARADE,12,1
Saudi Arabia,HOMEMADE JAM SCENTED CANDLES,12,1
Singapore,CHRISTMAS TREE PAINTED ZINC,384,1
Singapore,PARTY PIZZA DISH RED RETROSPOT,240,2
Singapore,SMALL POPCORN HOLDER,200,3
Spain,CHILDRENS CUTLERY POLKADOT PINK,729,1
Spain,CHILDRENS CUTLERY POLKADOT BLUE,653,2
Spain,LUNCH BAG CARS BLUE,558,3
Sweden,MINI PAINT SET VINTAGE,2916,1
Sweden,WORLD WAR 2 GLIDERS ASSTD DESIGNS,2304,2
Sweden,BUBBLEGUM RING ASSORTED,1080,3
Switzerland,PLASTERS IN TIN WOODLAND ANIMALS,639,1
Switzerland,ROUND SNACK BOXES SET OF4 WOODLAND,479,2
Switzerland,PLASTERS IN TIN SPACEBOY,467,3
USA,SET 12 COLOURING PENCILS DOILY,88,1
USA,12 PENCILS SMALL TUBE RED RETROSPOT,72,2
USA,SET/10 BLUE POLKADOT PARTY CANDLES,48,3
USA,SET 6 SCHOOL MILK BOTTLES IN CRATE,48,3
USA,SET/10 IVORY POLKADOT PARTY CANDLES,48,3
USA,SET/10 RED POLKADOT PARTY CANDLES,48,3
USA,SET/10 PINK POLKADOT PARTY CANDLES,48,3
United Arab Emirates,BIG DOUGHNUT FRIDGE MAGNETS,72,1
United Arab Emirates,ASSORTED CHEESE FRIDGE MAGNETS,72,1
United Arab Emirates,BLUE PAISLEY TISSUE BOX,36,3
United Arab Emirates,MINI PAINT SET VINTAGE,36,3
United Kingdom,WORLD WAR 2 GLIDERS ASSTD DESIGNS,48326,1
United Kingdom,JUMBO BAG RED RETROSPOT,43167,2
United Kingdom,POPCORN HOLDER,34365,3
Unspecified,WORLD WAR 2 GLIDERS ASSTD DESIGNS,96,1
Unspecified,ICE CREAM SUNDAE LIP GLOSS,48,2
Unspecified,SET/6 BEAD COASTERS GAUZE BAG GOLD,48,2
Unspecified,72 SWEETHEART FAIRY CAKE CASES,48,2
